key,lig,model,E,rmsd_lb,rmsd_ub,pvr_effic,pvr_n_contacts,torsdof,adph_fraction,adph_atoms_fraction,fdla_fraction,fdla_atoms_fraction
h11_gbm_m3,gbm,3,-5.0,10.87,13.049,-0.3846,18,6,0.34782608695652173,0.13793103448275862,0.05,0.015151515151515152
h11_gbm_m2,gbm,2,-5.1,12.216,14.419,-0.3923,7,6,0.21739130434782608,0.05747126436781609,0.05,0.015151515151515152
h11_gbm_m1,gbm,1,-5.2,0.0,0.0,-0.4,7,6,0.17391304347826086,0.05747126436781609,0.0,0.0
h11_gbm_m7,gbm,7,-4.8,11.065,12.844,-0.3692,11,6,0.30434782608695654,0.06896551724137931,0.05,0.030303030303030304
h11_gbm_m6,gbm,6,-4.8,20.861,22.66,-0.3692,5,6,0.0,0.0,0.2,0.030303030303030304
h11_gbm_m5,gbm,5,-4.8,22.169,24.013,-0.3692,9,6,0.0,0.0,0.2,0.06060606060606061
h11_gbm_m4,gbm,4,-4.9,11.16,13.474,-0.3769,12,6,0.30434782608695654,0.06896551724137931,0.05,0.0
h11_gbm_m9,gbm,9,-4.8,21.073,22.77,-0.3692,8,6,0.0,0.0,0.2,0.06060606060606061
h11_gbm_m8,gbm,8,-4.8,9.659,11.448,-0.3692,14,6,0.34782608695652173,0.08045977011494253,0.05,0.015151515151515152
h11_gam_m1,gam,1,-5.1,0.0,0.0,-0.3923,11,6,0.17391304347826086,0.05747126436781609,0.0,0.0
h11_gam_m2,gam,2,-5.1,3.507,4.719,-0.3923,13,6,0.34782608695652173,0.06896551724137931,0.05,0.0
h11_gam_m3,gam,3,-4.9,10.812,12.337,-0.3769,9,6,0.0,0.0,0.3,0.07575757575757576
h11_gam_m4,gam,4,-4.9,8.815,11.11,-0.3769,8,6,0.0,0.0,0.2,0.07575757575757576
h11_gam_m5,gam,5,-4.9,2.694,4.974,-0.3769,13,6,0.2608695652173913,0.05747126436781609,0.05,0.015151515151515152
h11_gam_m6,gam,6,-4.8,1.72,4.087,-0.3692,10,6,0.21739130434782608,0.05747126436781609,0.05,0.015151515151515152
h11_gam_m7,gam,7,-4.8,1.247,3.523,-0.3692,7,6,0.17391304347826086,0.04597701149425287,0.0,0.0
h11_gam_m8,gam,8,-4.8,9.922,11.735,-0.3692,10,6,0.0,0.0,0.25,0.09090909090909091
h11_gam_m9,gam,9,-4.8,9.356,11.398,-0.3692,6,6,0.0,0.0,0.2,0.045454545454545456
h11_gb8y_m1,gb8y,1,-5.6,0.0,0.0,-0.2667,14,14,0.2608695652173913,0.11494252873563218,0.0,0.0
h11_gb7_m2,gb7,2,-5.7,2.689,4.092,-0.285,14,12,0.34782608695652173,0.09195402298850575,0.05,0.015151515151515152
h11_ab_m3,ab,3,-4.9,12.029,12.923,-0.4083,5,6,0.17391304347826086,0.034482758620689655,0.0,0.0
h11_gb3_m9,gb3,9,-5.0,10.124,11.938,-0.3333,12,8,0.2608695652173913,0.06896551724137931,0.05,0.015151515151515152
h11_ab_m4,ab,4,-4.8,11.865,12.811,-0.4,13,6,0.34782608695652173,0.09195402298850575,0.1,0.015151515151515152
h11_gb6_m9,gb6,9,-5.3,2.8,7.146,-0.2789,15,11,0.2608695652173913,0.10344827586206896,0.15,0.045454545454545456
h11_ab_m7,ab,7,-4.7,11.677,12.311,-0.3917,6,6,0.17391304347826086,0.034482758620689655,0.05,0.015151515151515152
